k,dimension,epoch,fonction de similarite,qualite
1,2,5,"similarite_trajectoires_MRR_cosinus",0.241407867494824
2,2,5,"similarite_trajectoires_MRR_cosinus",0.24306418219461698
3,2,5,"similarite_trajectoires_MRR_cosinus",0.2525879917184265
4,2,5,"similarite_trajectoires_MRR_cosinus",0.2587991718426501
5,2,5,"similarite_trajectoires_MRR_cosinus",0.2645962732919255
6,2,5,"similarite_trajectoires_MRR_cosinus",0.2761904761904762
8,2,5,"similarite_trajectoires_MRR_cosinus",0.294824016563147
10,2,5,"similarite_trajectoires_MRR_cosinus",0.3060041407867495
12,2,5,"similarite_trajectoires_MRR_cosinus",0.31180124223602484
15,2,5,"similarite_trajectoires_MRR_cosinus",0.31635610766045547
20,2,5,"similarite_trajectoires_MRR_cosinus",0.3188405797101449
25,2,5,"similarite_trajectoires_MRR_cosinus",0.3188405797101449
30,2,5,"similarite_trajectoires_MRR_cosinus",0.3159420289855073
40,2,5,"similarite_trajectoires_MRR_cosinus",0.3151138716356108
50,2,5,"similarite_trajectoires_MRR_cosinus",0.31635610766045547
1,2,5,"similarite_trajectoires_JACCARD_cosinus",0.2422360248447205
2,2,5,"similarite_trajectoires_JACCARD_cosinus",0.24306418219461698
3,2,5,"similarite_trajectoires_JACCARD_cosinus",0.24886128364389234
4,2,5,"similarite_trajectoires_JACCARD_cosinus",0.25755693581780537
5,2,5,"similarite_trajectoires_JACCARD_cosinus",0.26335403726708073
6,2,5,"similarite_trajectoires_JACCARD_cosinus",0.2699792960662526
8,2,5,"similarite_trajectoires_JACCARD_cosinus",0.28488612836438926
10,2,5,"similarite_trajectoires_JACCARD_cosinus",0.29523809523809524
12,2,5,"similarite_trajectoires_JACCARD_cosinus",0.30144927536231886
15,2,5,"similarite_trajectoires_JACCARD_cosinus",0.30890269151138716
20,2,5,"similarite_trajectoires_JACCARD_cosinus",0.3142857142857143
25,2,5,"similarite_trajectoires_JACCARD_cosinus",0.3130434782608696
30,2,5,"similarite_trajectoires_JACCARD_cosinus",0.3130434782608696
40,2,5,"similarite_trajectoires_JACCARD_cosinus",0.3105590062111801
50,2,5,"similarite_trajectoires_JACCARD_cosinus",0.30973084886128366
1,2,7,"similarite_trajectoires_MRR_cosinus",0.2496894409937888
2,2,7,"similarite_trajectoires_MRR_cosinus",0.2505175983436853
3,2,7,"similarite_trajectoires_MRR_cosinus",0.25590062111801243
4,2,7,"similarite_trajectoires_MRR_cosinus",0.2650103519668737
5,2,7,"similarite_trajectoires_MRR_cosinus",0.2745341614906832
6,2,7,"similarite_trajectoires_MRR_cosinus",0.2815734989648033
8,2,7,"similarite_trajectoires_MRR_cosinus",0.294824016563147
10,2,7,"similarite_trajectoires_MRR_cosinus",0.3072463768115942
12,2,7,"similarite_trajectoires_MRR_cosinus",0.3134575569358178
15,2,7,"similarite_trajectoires_MRR_cosinus",0.3188405797101449
20,2,7,"similarite_trajectoires_MRR_cosinus",0.32215320910973083
25,2,7,"similarite_trajectoires_MRR_cosinus",0.32298136645962733
30,2,7,"similarite_trajectoires_MRR_cosinus",0.3204968944099379
40,2,7,"similarite_trajectoires_MRR_cosinus",0.31925465838509315
50,2,7,"similarite_trajectoires_MRR_cosinus",0.32008281573498965
1,2,7,"similarite_trajectoires_JACCARD_cosinus",0.2443064182194617
2,2,7,"similarite_trajectoires_JACCARD_cosinus",0.24472049689440994
3,2,7,"similarite_trajectoires_JACCARD_cosinus",0.2505175983436853
4,2,7,"similarite_trajectoires_JACCARD_cosinus",0.25838509316770186
5,2,7,"similarite_trajectoires_JACCARD_cosinus",0.26418219461697723
6,2,7,"similarite_trajectoires_JACCARD_cosinus",0.2683229813664596
8,2,7,"similarite_trajectoires_JACCARD_cosinus",0.28322981366459626
10,2,7,"similarite_trajectoires_JACCARD_cosinus",0.2956521739130435
12,2,7,"similarite_trajectoires_JACCARD_cosinus",0.30434782608695654
15,2,7,"similarite_trajectoires_JACCARD_cosinus",0.3093167701863354
20,2,7,"similarite_trajectoires_JACCARD_cosinus",0.3159420289855073
25,2,7,"similarite_trajectoires_JACCARD_cosinus",0.315527950310559
30,2,7,"similarite_trajectoires_JACCARD_cosinus",0.31387163561076603
40,2,7,"similarite_trajectoires_JACCARD_cosinus",0.31097308488612835
50,2,7,"similarite_trajectoires_JACCARD_cosinus",0.31262939958592134
1,2,10,"similarite_trajectoires_MRR_cosinus",0.2484472049689441
2,2,10,"similarite_trajectoires_MRR_cosinus",0.24886128364389234
3,2,10,"similarite_trajectoires_MRR_cosinus",0.2546583850931677
4,2,10,"similarite_trajectoires_MRR_cosinus",0.265424430641822
5,2,10,"similarite_trajectoires_MRR_cosinus",0.2745341614906832
6,2,10,"similarite_trajectoires_MRR_cosinus",0.2836438923395445
8,2,10,"similarite_trajectoires_MRR_cosinus",0.2985507246376812
10,2,10,"similarite_trajectoires_MRR_cosinus",0.3084886128364389
12,2,10,"similarite_trajectoires_MRR_cosinus",0.3167701863354037
15,2,10,"similarite_trajectoires_MRR_cosinus",0.32091097308488614
20,2,10,"similarite_trajectoires_MRR_cosinus",0.3196687370600414
25,2,10,"similarite_trajectoires_MRR_cosinus",0.3213250517598344
30,2,10,"similarite_trajectoires_MRR_cosinus",0.32091097308488614
40,2,10,"similarite_trajectoires_MRR_cosinus",0.32091097308488614
50,2,10,"similarite_trajectoires_MRR_cosinus",0.31925465838509315
1,2,10,"similarite_trajectoires_JACCARD_cosinus",0.24679089026915113
2,2,10,"similarite_trajectoires_JACCARD_cosinus",0.2496894409937888
3,2,10,"similarite_trajectoires_JACCARD_cosinus",0.253416149068323
4,2,10,"similarite_trajectoires_JACCARD_cosinus",0.2625258799171843
5,2,10,"similarite_trajectoires_JACCARD_cosinus",0.2720496894409938
6,2,10,"similarite_trajectoires_JACCARD_cosinus",0.28405797101449276
8,2,10,"similarite_trajectoires_JACCARD_cosinus",0.2981366459627329
10,2,10,"similarite_trajectoires_JACCARD_cosinus",0.3076604554865424
12,2,10,"similarite_trajectoires_JACCARD_cosinus",0.3151138716356108
15,2,10,"similarite_trajectoires_JACCARD_cosinus",0.3233954451345756
20,2,10,"similarite_trajectoires_JACCARD_cosinus",0.32463768115942027
25,2,10,"similarite_trajectoires_JACCARD_cosinus",0.3250517598343685
30,2,10,"similarite_trajectoires_JACCARD_cosinus",0.32463768115942027
40,2,10,"similarite_trajectoires_JACCARD_cosinus",0.3250517598343685
50,2,10,"similarite_trajectoires_JACCARD_cosinus",0.3242236024844721
1,2,15,"similarite_trajectoires_MRR_cosinus",0.24803312629399585
2,2,15,"similarite_trajectoires_MRR_cosinus",0.2484472049689441
3,2,15,"similarite_trajectoires_MRR_cosinus",0.25755693581780537
4,2,15,"similarite_trajectoires_MRR_cosinus",0.26956521739130435
5,2,15,"similarite_trajectoires_MRR_cosinus",0.27784679089026915
6,2,15,"similarite_trajectoires_MRR_cosinus",0.282815734989648
8,2,15,"similarite_trajectoires_MRR_cosinus",0.29440993788819875
10,2,15,"similarite_trajectoires_MRR_cosinus",0.30351966873706004
12,2,15,"similarite_trajectoires_MRR_cosinus",0.3134575569358178
15,2,15,"similarite_trajectoires_MRR_cosinus",0.31718426501035196
20,2,15,"similarite_trajectoires_MRR_cosinus",0.3188405797101449
25,2,15,"similarite_trajectoires_MRR_cosinus",0.3196687370600414
30,2,15,"similarite_trajectoires_MRR_cosinus",0.3184265010351967
40,2,15,"similarite_trajectoires_MRR_cosinus",0.31925465838509315
50,2,15,"similarite_trajectoires_MRR_cosinus",0.3196687370600414
1,2,15,"similarite_trajectoires_JACCARD_cosinus",0.2496894409937888
2,2,15,"similarite_trajectoires_JACCARD_cosinus",0.2513457556935818
3,2,15,"similarite_trajectoires_JACCARD_cosinus",0.2587991718426501
4,2,15,"similarite_trajectoires_JACCARD_cosinus",0.2683229813664596
5,2,15,"similarite_trajectoires_JACCARD_cosinus",0.2753623188405797
6,2,15,"similarite_trajectoires_JACCARD_cosinus",0.2811594202898551
8,2,15,"similarite_trajectoires_JACCARD_cosinus",0.29648033126293993
10,2,15,"similarite_trajectoires_JACCARD_cosinus",0.306832298136646
12,2,15,"similarite_trajectoires_JACCARD_cosinus",0.31801242236024846
15,2,15,"similarite_trajectoires_JACCARD_cosinus",0.3204968944099379
20,2,15,"similarite_trajectoires_JACCARD_cosinus",0.32463768115942027
25,2,15,"similarite_trajectoires_JACCARD_cosinus",0.3250517598343685
30,2,15,"similarite_trajectoires_JACCARD_cosinus",0.3213250517598344
40,2,15,"similarite_trajectoires_JACCARD_cosinus",0.32463768115942027
50,2,15,"similarite_trajectoires_JACCARD_cosinus",0.3250517598343685
1,2,20,"similarite_trajectoires_MRR_cosinus",0.24472049689440994
2,2,20,"similarite_trajectoires_MRR_cosinus",0.2455486542443064
3,2,20,"similarite_trajectoires_MRR_cosinus",0.25507246376811593
4,2,20,"similarite_trajectoires_MRR_cosinus",0.263768115942029
5,2,20,"similarite_trajectoires_MRR_cosinus",0.27246376811594203
6,2,20,"similarite_trajectoires_MRR_cosinus",0.2815734989648033
8,2,20,"similarite_trajectoires_MRR_cosinus",0.29606625258799174
10,2,20,"similarite_trajectoires_MRR_cosinus",0.3076604554865424
12,2,20,"similarite_trajectoires_MRR_cosinus",0.3101449275362319
15,2,20,"similarite_trajectoires_MRR_cosinus",0.3188405797101449
20,2,20,"similarite_trajectoires_MRR_cosinus",0.3188405797101449
25,2,20,"similarite_trajectoires_MRR_cosinus",0.32008281573498965
30,2,20,"similarite_trajectoires_MRR_cosinus",0.32008281573498965
40,2,20,"similarite_trajectoires_MRR_cosinus",0.31925465838509315
50,2,20,"similarite_trajectoires_MRR_cosinus",0.32008281573498965
1,2,20,"similarite_trajectoires_JACCARD_cosinus",0.24513457556935817
2,2,20,"similarite_trajectoires_JACCARD_cosinus",0.2463768115942029
3,2,20,"similarite_trajectoires_JACCARD_cosinus",0.2525879917184265
4,2,20,"similarite_trajectoires_JACCARD_cosinus",0.2596273291925466
5,2,20,"similarite_trajectoires_JACCARD_cosinus",0.26749482401656316
6,2,20,"similarite_trajectoires_JACCARD_cosinus",0.27412008281573497
8,2,20,"similarite_trajectoires_JACCARD_cosinus",0.29606625258799174
10,2,20,"similarite_trajectoires_JACCARD_cosinus",0.30559006211180123
12,2,20,"similarite_trajectoires_JACCARD_cosinus",0.30973084886128366
15,2,20,"similarite_trajectoires_JACCARD_cosinus",0.3175983436853002
20,2,20,"similarite_trajectoires_JACCARD_cosinus",0.32008281573498965
25,2,20,"similarite_trajectoires_JACCARD_cosinus",0.32091097308488614
30,2,20,"similarite_trajectoires_JACCARD_cosinus",0.3204968944099379
40,2,20,"similarite_trajectoires_JACCARD_cosinus",0.3196687370600414
